player,position,team,opp,fpts,salary,pts/$,pown
Kyler Murray,QB,ARI,NE,21.5,6000,3.6,12.7
Justin Herbert,QB,LAC,TB,20.7,5900,3.5,12.4
Tua Tagovailoa,QB,MIA,@HOU,21,6100,3.4,6.4
Chuba Hubbard,RB,CAR,DAL,22.1,6500,3.4,35.5
Will Levis,QB,TEN,CIN,16.9,5000,3.4,6.3
Brenton Strange,TE,JAX,NYJ,8.4,2500,3.4,19.2
Anthony Richardson,QB,IND,@DEN,19.2,5800,3.3,5.7
C.J. Stroud,QB,HOU,MIA,20.4,6200,3.3,5.8
James Conner,RB,ARI,NE,21.4,6600,3.2,27.1
Rico Dowdle,RB,DAL,@CAR,19.5,6100,3.2,26.2
Stone Smartt,TE,LAC,TB,8.3,2600,3.2,24.8
Joe Burrow,QB,CIN,@TEN,23.2,7300,3.2,6.9
Bo Nix,QB,DEN,IND,20,6300,3.2,5.7
Tommy DeVito,QB,NYG,BAL,13.8,4400,3.1,1.8
Jayden Daniels,QB,WAS,@NO,23.5,7500,3.1,3.7
Bryce Young,QB,CAR,DAL,16.6,5300,3.1,4.1
Jameis Winston,QB,CLE,KC,17.2,5500,3.1,2.6
Josh Allen,QB,BUF,@DET,26.3,8500,3.1,5.2
Chase Brown,RB,CIN,@TEN,22.2,7200,3.1,22.1
Cooper Rush,QB,DAL,@CAR,15.9,5200,3.1,2.2
Brian Robinson Jr.,RB,WAS,@NO,18.6,6200,3.0,15.0
Dalton Schultz,TE,HOU,MIA,9.7,3300,2.9,9.1
Mac Jones,QB,JAX,NYJ,14.4,4900,2.9,3.0
Aaron Rodgers,QB,NYJ,@JAX,16.2,5400,3.0,2.8
Patrick Mahomes,QB,KC,@CLE,19.6,6700,2.9,0.6
Jared Goff,QB,DET,BUF,19.2,6500,3.0,3.9
Baker Mayfield,QB,TB,@LAC,18.2,6400,2.8,1.3
Joe Mixon,RB,HOU,MIA,22.1,7800,2.8,16.1
Derrick Henry,RB,BAL,@NYG,23.5,8300,2.8,13.6
Ladd McConkey,WR,LAC,TB,17.6,6300,2.8,22.7
Jake Ferguson,TE,DAL,@CAR,10.6,3800,2.8,9.7
Brian Thomas Jr.,WR,JAX,NYJ,16.1,5800,2.8,24.3
Ja'Marr Chase,WR,CIN,@TEN,23.1,8400,2.7,17.9
Trey McBride,TE,ARI,NE,16.4,6000,2.7,17.6
Hunter Henry,TE,NE,@ARI,11.7,4300,2.7,10.3
Jahmyr Gibbs,RB,DET,BUF,20.4,7500,2.7,5.6
Jalen Hurts,QB,PHI,PIT,21.7,8000,2.7,0.6
Courtland Sutton,WR,DEN,IND,17.9,6600,2.7,16.5
Juwan Johnson,TE,NO,WAS,9.2,3400,2.7,4.2
Isiah Pacheco,RB,KC,@CLE,16.2,6000,2.7,3.2
Dyami Brown,WR,WAS,@NO,8.3,3100,2.7,6.7
Jerry Jeudy,WR,CLE,KC,16.6,6200,2.7,9.3
Zach Ertz,TE,WAS,@NO,10.7,4000,2.7,8.0
Rhamondre Stevenson,RB,NE,@ARI,15.7,5900,2.7,5.2
Marvin Harrison Jr.,WR,ARI,NE,14.6,5500,2.7,11.4
Calvin Ridley,WR,TEN,CIN,15.5,5900,2.6,13.1
Alvin Kamara,RB,NO,WAS,20.2,7700,2.6,5.1
David Montgomery,RB,DET,BUF,18.3,7000,2.6,2.4
Travis Kelce,TE,KC,@CLE,14.9,5700,2.6,4.9
Malik Nabers,WR,NYG,BAL,16.6,6400,2.6,9.5
Najee Harris,RB,PIT,@PHI,15.3,5900,2.6,1.3
Saquon Barkley,RB,PHI,PIT,22.2,8600,2.6,10.1
Adam Thielen,WR,CAR,DAL,13.8,5400,2.6,14.8
Tee Higgins,WR,CIN,@TEN,17.3,6800,2.5,12.3
Jalen McMillan,WR,TB,@LAC,9.4,3700,2.5,3.8
Nico Collins,WR,HOU,MIA,20.5,8100,2.5,12.1
Jake Haener,QB,NO,WAS,12.9,5100,2.5,0.3
Kayshon Boutte,WR,NE,@ARI,8.8,3500,2.5,3.9
Amon-Ra St. Brown,WR,DET,BUF,19.1,7600,2.5,8.4
Russell Wilson,QB,PIT,@PHI,14.3,5700,2.5,0.5
Tyrone Tracy Jr.,RB,NYG,BAL,14.3,5700,2.5,2.4
Davante Adams,WR,NYJ,@JAX,17.3,6900,2.5,7.7
Sam LaPorta,TE,DET,BUF,11,4400,2.5,6.5
Mark Andrews,TE,BAL,@NYG,10.2,4100,2.5,0.9
Jonathan Taylor,RB,IND,@DEN,17.1,6900,2.5,4.2
Jaylen Waddle,WR,MIA,@HOU,14.1,5700,2.5,8.8
Mike Evans,WR,TB,@LAC,17.4,7100,2.5,5.5
Zay Flowers,WR,BAL,@NYG,14.7,6000,2.5,4.4
Demario Douglas,WR,NE,@ARI,11,4500,2.4,3.6
Khalil Shakir,WR,BUF,@DET,14.9,6100,2.4,8.8
Javonte Williams,RB,DEN,IND,12.7,5200,2.4,1.1
Elijah Moore,WR,CLE,KC,12.2,5000,2.4,9.0
A.J. Brown,WR,PHI,PIT,19.5,8000,2.4,4.9
Pat Freiermuth,TE,PIT,@PHI,9.5,3900,2.4,2.1
Josh Downs,WR,IND,@DEN,12.4,5100,2.4,6.9
Garrett Wilson,WR,NYJ,@JAX,15.8,6500,2.4,5.0
Cade Otton,TE,TB,@LAC,10.9,4500,2.4,1.2
Tyreek Hill,WR,MIA,@HOU,17.8,7400,2.4,7.7
Amari Cooper,WR,BUF,@DET,12.6,5300,2.4,4.0
Noah Gray,TE,KC,@CLE,7.6,3200,2.4,0.4
Jonnu Smith,TE,MIA,@HOU,12.8,5400,2.4,4.8
Jerome Ford,RB,CLE,KC,11.6,4900,2.4,0.5
Devaughn Vele,WR,DEN,IND,9.9,4200,2.4,2.9
Joshua Palmer,WR,LAC,TB,10.8,4600,2.3,2.7
Terry McLaurin,WR,WAS,@NO,16.7,7200,2.3,2.3
Jaylen Warren,RB,PIT,@PHI,12.5,5400,2.3,0.5
Jameson Williams,WR,DET,BUF,12.9,5600,2.3,5.0
DeVonta Smith,WR,PHI,PIT,12.6,5500,2.3,1.9
CeeDee Lamb,WR,DAL,@CAR,16.7,7300,2.3,10.4
Tyler Conklin,TE,NYJ,@JAX,6.4,2800,2.3,1.1
Gus Edwards,RB,LAC,TB,14.6,5300,2.8,0.5
James Cook,RB,BUF,@DET,15.5,6800,2.3,0.7
Sterling Shepard,WR,TB,@LAC,9.1,4000,2.3,3.3
DeAndre Hopkins,WR,KC,@CLE,12,5300,2.3,2.9
Kendrick Bourne,WR,NE,@ARI,8,3600,2.2,1.2
Tank Dell,WR,HOU,MIA,11.9,5400,2.2,3.5
Michael Wilson,WR,ARI,NE,9.5,4400,2.2,2.4
Tyler Boyd,WR,TEN,CIN,7.3,3400,2.1,2.5
Xavier Legette,WR,CAR,DAL,10,4700,2.1,1.4
Tony Pollard,RB,TEN,CIN,16.6,6700,2.5,6.5
Jaleel McLaughlin,RB,DEN,IND,9.8,4700,2.1,0.5
Calvin Austin III,WR,PIT,@PHI,7.5,3600,2.1,0.8
Rashod Bateman,WR,BAL,@NYG,9.1,4400,2.1,0.6
Marquez Valdes-Scantling,WR,NO,WAS,9.3,4500,2.1,0.8
Michael Pittman Jr.,WR,IND,@DEN,10.6,5200,2.0,2.5
Austin Hooper,TE,NE,@ARI,6.5,3200,2.0,0.2
Tank Bigsby,RB,JAX,NYJ,13.4,5100,2.6,11.2
Xavier Worthy,WR,KC,@CLE,10.3,5100,2.0,1.0
Mike Gesicki,TE,CIN,@TEN,7,3500,2.0,0.5
Parker Washington,WR,JAX,NYJ,8.2,4100,2.0,1.0
Wan'Dale Robinson,WR,NYG,BAL,9.2,4600,2.0,1.6
Isaiah Likely,TE,BAL,@NYG,7.1,3600,2.0,0.3
Nick Chubb,RB,CLE,KC,10.6,5500,1.9,0.3
Keon Coleman,WR,BUF,@DET,9.2,4800,1.9,0.8
Tim Patrick,WR,DET,BUF,8.2,4300,1.9,1.0
Olamide Zaccheaus,WR,WAS,@NO,6.1,3200,1.9,1.1
Grant Calcaterra,TE,PHI,PIT,6.6,3500,1.9,0.3
Van Jefferson,WR,PIT,@PHI,6.6,3500,1.9,0.4
Daniel Bellinger,TE,NYG,BAL,5.2,2800,1.9,0.2
Justice Hill,RB,BAL,@NYG,8.9,4800,1.9,0.3
Foster Moreau,TE,NO,WAS,5.5,3000,1.8,0.2
Troy Franklin,WR,DEN,IND,6.2,3400,1.8,0.3
Andrei Iosivas,WR,CIN,@TEN,6.7,3800,1.8,0.4
Kendre Miller,RB,NO,WAS,7.8,4500,1.7,0.2
Mike Williams,WR,PIT,@PHI,6.2,3800,1.6,0.0
Brandin Cooks,WR,DAL,@CAR,7.6,4700,1.6,0.6
Drake Maye,QB,NE,@ARI,9,5600,1.6,4.6
Rachaad White,RB,TB,@LAC,9.1,5800,1.6,3.6
Quentin Johnston,WR,LAC,TB,7.8,5000,1.6,3.1
Allen Lazard,WR,NYJ,@JAX,6.7,4300,1.6,0.2
Darnell Washington,TE,PIT,@PHI,4.2,2700,1.6,0.0
Drew Sample,TE,CIN,@TEN,3.8,2500,1.5,0.0
Alec Pierce,WR,IND,@DEN,7.1,4800,1.5,0.3
Kimani Vidal,RB,LAC,TB,6.8,4800,1.4,0.6
Kareem Hunt,RB,KC,@CLE,7,5000,1.4,0.2
Malik Washington,WR,MIA,@HOU,4.2,3000,1.4,0.0
Nick Westbrook-Ikhine,WR,TEN,CIN,6.8,4900,1.4,1.3
John Metchie III,WR,HOU,MIA,5.4,3900,1.4,0.2
JuJu Smith-Schuster,WR,KC,@CLE,5.1,3700,1.4,0.0
Trey Benson,RB,ARI,NE,5.5,4600,1.2,0.3
Lil'Jordan Humphrey,WR,DEN,IND,3.4,3000,1.1,0.1
Cade Stover,TE,HOU,MIA,2.8,2500,1.1,0.0
Raheem Mostert,RB,MIA,@HOU,5.3,4900,1.1,0.2
Adam Trautman,TE,DEN,IND,2.5,2500,1.0,0.0
Darius Slayton,WR,NYG,BAL,4.1,4100,1.0,0.2
Antonio Gibson,RB,NE,@ARI,4.8,4900,1.0,0.1
Kylen Granson,TE,IND,@DEN,2,2500,0.8,0.0
Dante Pettis,WR,NO,WAS,2.2,3000,0.7,0.0
Kenneth Gainwell,RB,PHI,PIT,3.3,4600,0.7,0.0
Justin Watson,RB,KC,@CLE,2.2,3400,0.6,0.0
Julian Hill,TE,MIA,@HOU,1.6,2500,0.6,0.0
Jahan Dotson,WR,PHI,PIT,2.1,3300,0.6,0.0
Breece Hall,RB,NYJ,@JAX,3.8,6400,0.6,8.5
Samaje Perine,RB,KC,@CLE,2.1,4000,0.5,0.0
Bucky Irving,RB,TB,@LAC,3.2,6300,0.5,1.2
Jordan Akins,TE,CLE,KC,1.2,2700,0.4,6.5
Dalton Kincaid,TE,BUF,@DET,1.9,4900,0.4,1.0
Dawson Knox,TE,BUF,@DET,1.3,3400,0.4,0.0
Adonai Mitchell,WR,IND,@DEN,1.4,4000,0.4,0.0
Nelson Agholor,WR,BAL,@NYG,1.1,3300,0.3,0.0
Derius Davis,WR,LAC,TB,1,3000,0.3,0.1
Tommy Tremble,TE,CAR,DAL,1,3000,0.3,0.0
Jalen Coker,WR,CAR,DAL,1.2,3700,0.3,0.0
Lucas Krull,TE,DEN,IND,0.8,2500,0.3,0.0
Tucker Fisk,TE,LAC,TB,0.8,2500,0.3,0.0
Tyjae Spears,RB,TEN,CIN,1.3,4300,0.3,0.3
Braelon Allen,RB,NYJ,@JAX,1.6,5400,0.3,0.2
Ja'Tavion Sanders,TE,CAR,DAL,0.9,3100,0.3,0.2
David Moore,WR,CAR,DAL,1.1,3900,0.3,0.4
Elijah Higgins,TE,ARI,NE,0.7,2500,0.3,0.0
Devin Duvernay,WR,JAX,NYJ,0.8,3000,0.3,0.2
Jamison Crowder,WR,WAS,@NO,0.8,3000,0.3,0.0
Zay Jones,WR,ARI,NE,0.8,3000,0.3,0.0
Mack Hollins,WR,BUF,@DET,1,3800,0.3,0.0
Isaiah Davis,RB,NYJ,@JAX,1.3,5000,0.3,0.2
Ja'Lynn Polk,WR,NE,@ARI,0.8,3100,0.3,0.0
Luke McCaffrey,WR,WAS,@NO,0.8,3100,0.3,0.0
Chris Rodriguez Jr.,RB,WAS,@NO,1,4000,0.3,0.1
Audric Estime,RB,DEN,IND,1.1,4500,0.2,0.0
Blake Whiteheart,TE,CLE,KC,0.6,2500,0.2,0.0
Eric Tomlinson,TE,LAC,TB,0.6,2500,0.2,0.0
Josh Whyle,TE,TEN,CIN,0.6,2500,0.2,0.0
Luke Farrell,TE,JAX,NYJ,0.6,2500,0.2,0.0
Tip Reiman,TE,ARI,NE,0.6,2500,0.2,0.0
Jamaal Williams,RB,NO,WAS,1,4200,0.2,0.0
Robert Woods,WR,HOU,MIA,0.7,3000,0.2,0.0
Jalen Tolbert,WR,DAL,@CAR,0.9,3900,0.2,0.2
Tanner Hudson,TE,CIN,@TEN,0.6,2600,0.2,0.0
Jeremy McNichols,RB,WAS,@NO,1.2,5300,0.2,0.0
Greg Dortch,WR,ARI,NE,0.7,3100,0.2,0.0
Jamari Thrash,WR,CLE,KC,0.7,3100,0.2,0.0
Mike Boone,RB,CAR,DAL,0.9,4000,0.2,0.0
Curtis Samuel,WR,BUF,@DET,0.8,3600,0.2,0.0
Trey Palmer,WR,TB,@LAC,0.7,3200,0.2,0.0
Ray Davis,RB,BUF,@DET,1,4700,0.2,0.0
Luke Schoonmaker,TE,DAL,@CAR,0.7,3300,0.2,0.0
Ty Johnson,RB,BUF,@DET,0.9,4400,0.2,0.0
Dallin Holker,TE,NO,WAS,0.5,2500,0.2,0.0
Jeremy Ruckert,TE,NYJ,@JAX,0.5,2500,0.2,0.0
Mo Alie-Cox,TE,IND,@DEN,0.5,2500,0.2,0.0
Nate Adkins,TE,DEN,IND,0.5,2500,0.2,0.0
Nick Vannett,TE,TEN,CIN,0.5,2500,0.2,0.0
Grant DuBose,WR,MIA,@HOU,0.6,3000,0.2,0.0
KaVontae Turpin,WR,DAL,@CAR,0.7,3600,0.2,0.0
Khalil Herbert,RB,CIN,@TEN,1,5200,0.2,0.0
Hassan Haskins,RB,LAC,TB,0.8,4200,0.2,0.0
Ezekiel Elliott,RB,DAL,@CAR,0.9,5100,0.2,0.0
Brock Wright,TE,DET,BUF,0.5,2900,0.2,0.0
Jalen Brooks,WR,DAL,@CAR,0.5,2900,0.2,0.0
Devontez Walker,WR,BAL,@NYG,0.5,3000,0.2,0.0
Laviska Shenault Jr.,WR,LAC,TB,0.5,3000,0.2,0.0
Nikko Remigio,WR,KC,@CLE,0.5,3000,0.2,0.0
Dameon Pierce,RB,HOU,MIA,0.7,4300,0.2,0.0
Jalin Hyatt,WR,NYG,BAL,0.5,3100,0.2,0.0
Ben Sinnott,TE,WAS,@NO,0.4,2500,0.2,0.0
C.J. Uzomah,TE,PHI,PIT,0.4,2500,0.2,0.0
Cam Grandy,TE,CIN,@TEN,0.4,2500,0.2,0.0
John Bates,TE,WAS,@NO,0.4,2500,0.2,0.0
Tylan Wallace,WR,BAL,@NYG,0.5,3200,0.2,0.0
Devin Singletary,RB,NYG,BAL,0.7,4700,0.1,0.0
Keaton Mitchell,RB,BAL,@NYG,0.7,4800,0.1,0.0
Sean Tucker,RB,TB,@LAC,0.6,4300,0.1,0.0
Jaylen Wright,RB,MIA,@HOU,0.6,4400,0.1,0.0
Bryce Oliver,WR,TEN,CIN,0.4,3000,0.1,0.0
Deven Thompkins,WR,CAR,DAL,0.4,3000,0.1,0.0
James Proche II,WR,CLE,KC,0.4,3000,0.1,0.0
Jermaine Burton,WR,CIN,@TEN,0.4,3000,0.1,0.0
Johnny Wilson,WR,PHI,PIT,0.4,3000,0.1,0.0
Rakim Jarrett,WR,TB,@LAC,0.4,3000,0.1,0.0
Ryan Miller,WR,TB,@LAC,0.4,3000,0.1,0.0
Xavier Gipson,WR,NYJ,@JAX,0.4,3000,0.1,0.0
Zach Pascal,WR,ARI,NE,0.4,3000,0.1,0.0
Justin Fields,QB,PIT,@PHI,0.6,4700,0.1,0.0
Carson Steele,RB,KC,@CLE,0.5,4000,0.1,0.0
Dare Ogunbowale,RB,HOU,MIA,0.5,4000,0.1,0.0
Pierre Strong Jr.,RB,CLE,KC,0.5,4000,0.1,0.0
Josh Reynolds,WR,JAX,NYJ,0.4,3300,0.1,0.0
Connor Heyward,TE,PIT,@PHI,0.3,2500,0.1,0.0
David Martin-Robinson,TE,TEN,CIN,0.3,2500,0.1,0.0
Jaheim Bell,TE,NE,@ARI,0.3,2500,0.1,0.0
MyCole Pruitt,TE,PIT,@PHI,0.3,2500,0.1,0.0
Quintin Morris,TE,BUF,@DET,0.3,2500,0.1,0.0
Shane Zylstra,TE,DET,BUF,0.3,2500,0.1,0.0
Cordarrelle Patterson,RB,PIT,@PHI,0.4,4000,0.1,0.0
JaMycal Hasty,RB,NE,@ARI,0.4,4000,0.1,0.0
Keilan Robinson,RB,JAX,NYJ,0.4,4000,0.1,0.0
Ben Skowronek,WR,PIT,@PHI,0.3,3000,0.1,0.0
Isaiah Williams,WR,CIN,@TEN,0.3,3000,0.1,0.0
Joshua Cephus,WR,JAX,NYJ,0.3,3000,0.1,0.0
River Cracraft,WR,MIA,@HOU,0.3,3000,0.1,0.0
Ryan Flournoy,WR,DAL,@CAR,0.3,3000,0.1,0.0
Xavier Hutchinson,WR,HOU,MIA,0.3,3000,0.1,0.0
Jonathan Mingo,WR,DAL,@CAR,0.3,3300,0.1,0.0
Chris Manhertz,TE,NYG,BAL,0.2,2500,0.1,0.0
Durham Smythe,TE,MIA,@HOU,0.2,2500,0.1,0.0
E.J. Jenkins,TE,PHI,PIT,0.2,2500,0.1,0.0
Greg Dulcich,TE,NYG,BAL,0.2,2500,0.1,0.0
Jack Westover,TE,NE,@ARI,0.2,2500,0.1,0.0
Josiah Deguara,TE,JAX,NYJ,0.2,2500,0.1,0.0
Kenny Yeboah,TE,NYJ,@JAX,0.2,2500,0.1,0.0
Ko Kieft,TE,TB,@LAC,0.2,2500,0.1,0.0
Payne Durham,TE,TB,@LAC,0.2,2500,0.1,0.0
Will Mallory,TE,IND,@DEN,0.2,2500,0.1,0.0
Brevyn Spann-Ford,TE,DAL,@CAR,0.2,2600,0.1,0.0
Hunter Luepke,RB,DAL,@CAR,0.3,4000,0.1,0.0
Julius Chestnut,RB,TEN,CIN,0.3,4000,0.1,0.0
Trey Sermon,RB,IND,@DEN,0.3,4000,0.1,0.0
Will Shipley,RB,PHI,PIT,0.3,4000,0.1,0.0
Ainias Smith,WR,PHI,PIT,0.2,3000,0.1,0.0
Mason Kinsey,WR,TEN,CIN,0.2,3000,0.1,0.0
Trayveon Williams,RB,CIN,@TEN,0.3,4500,0.1,0.0
Tim Jones,WR,JAX,NYJ,0.2,3100,0.1,0.0
Craig Reynolds,RB,DET,BUF,0.2,4000,0.1,0.0
DeeJay Dallas,RB,ARI,NE,0.2,4000,0.1,0.0
Tyler Goodson,RB,IND,@DEN,0.2,4000,0.1,0.0
Eric Gray,RB,NYG,BAL,0.1,4000,0.0,0.0
